"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Circellium","bacchus",,"body mass",6.836,"g",,,37,,12,"Chown, Scholtz, Klok, Joubert, & Coles, 1995",1995,"Chown, S. L., Scholtz, C. H., Klok, C. J., Joubert, F. J., & Coles, K. S. (1995). Ecophysiology, range contraction and survival of a geographically restricted African dung beetle (Coleoptera: Scarabaeidae). Functional Ecology, 9(1), 30-39. doi:10.2307/2390087","",
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Circellium","bacchus",,"metabolic rate",0.406,"(O2) ml/g/h",27,,37,,12,"Chown, Scholtz, Klok, Joubert, & Coles, 1995",1995,"Chown, S. L., Scholtz, C. H., Klok, C. J., Joubert, F. J., & Coles, K. S. (1995). Ecophysiology, range contraction and survival of a geographically restricted African dung beetle (Coleoptera: Scarabaeidae). Functional Ecology, 9(1), 30-39. doi:10.2307/2390087","not specified",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pachylomerus","femoralis",,"body mass",4.915,"g",,,11,,12,"Chown, Scholtz, Klok, Joubert, & Coles, 1995",1995,"Chown, S. L., Scholtz, C. H., Klok, C. J., Joubert, F. J., & Coles, K. S. (1995). Ecophysiology, range contraction and survival of a geographically restricted African dung beetle (Coleoptera: Scarabaeidae). Functional Ecology, 9(1), 30-39. doi:10.2307/2390087","",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pachylomerus","femoralis",,"metabolic rate",0.358,"(O2) ml/g/h",27,,11,,12,"Chown, Scholtz, Klok, Joubert, & Coles, 1995",1995,"Chown, S. L., Scholtz, C. H., Klok, C. J., Joubert, F. J., & Coles, K. S. (1995). Ecophysiology, range contraction and survival of a geographically restricted African dung beetle (Coleoptera: Scarabaeidae). Functional Ecology, 9(1), 30-39. doi:10.2307/2390087","not specified",
