observationID,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
1,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,americana,male,mass,0.90000000000000002,g,,,6,DONTWARN: value checked,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246."
1,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,americana,male,metabolic rate,0.17999999999999999,(O2) ml/g/h,24,,6,,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246.",not specified
2,Arthropoda,Insecta,Coleoptera,Carabidae,Calosoma,affine,male,mass,0.62,g,,,3,,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246."
2,Arthropoda,Insecta,Coleoptera,Carabidae,Calosoma,affine,male,metabolic rate,0.20999999999999999,(O2) ml/g/h,24,,3,,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246.",not specified
3,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,male,mass,0.94999999999999996,g,,,49,,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246."
3,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,male,metabolic rate,0.98999999999999999,(O2) ml/g/h,24,,49,,15,"Full, Zuccarello, & Tullis, 1990",1990,"Full, R. J., Zuccarello, D. A., & Tullis, A. (1990). Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology, 150(1), 233-246.",not specified
