"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
19,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","dasycneme",,"brain size",310,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
20,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","daubentoni",,"brain size",230,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
21,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","myotis",,"brain size",480,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
22,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","mystacinus",,"brain size",160,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
23,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","nattereri",,"brain size",220,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
24,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","nigricans",,"brain size",120,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
25,"Chordata","Mammalia","Chiroptera","Noctilionidae ","Noctilio","leporinus",,"brain size",1260,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
26,"Chordata","Mammalia","Chiroptera","Nycteridae ","Nycteris","arge",,"brain size",360,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
27,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Nyctalus","noctula",,"brain size",369,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
28,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Phyllostomus","discolor",,"brain size",890,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
29,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Pteronotus","davyi",,"brain size",310,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
30,"Chordata","Mammalia","Chiroptera","Rhinolophidae ","Rhinolophus","hipposideros",,"brain size",235,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
31,"Chordata","Mammalia","Chiroptera","Emballonuridae ","Rhynchonycteris","naso",,"brain size",110,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
32,"Chordata","Mammalia","Chiroptera","Pteropidae","Rousettus","aegyptiacus",,"brain size",2600,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
33,"Chordata","Mammalia","Chiroptera","Emballonuridae ","Saccopteryx","bilineata",,"brain size",220,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
34,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Sturnira","lilium",,"brain size",520,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
35,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Uroderma","bilobatum",,"brain size",530,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
36,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Vampyrops","helleri",,"brain size",420,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
37,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Vespertilio","serotinus",,"brain size",310,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
38,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Vespertilio","murinus",,"brain size",445,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
39,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Scotophilus","gigas",,"brain size",1046,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed","Typo in source document, looks like 1.046 instead of 1,046"
40,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Miniopterus","schreibers",,"brain size",290,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
41,"Chordata","Mammalia","Chiroptera","Molossidae ","Tadarida","albiventer",,"brain size",220,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
42,"Chordata","Mammalia","Chiroptera","Molossidae ","Chaerophon","limbatus",,"brain size",290,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
43,"Chordata","Mammalia","Chiroptera","Molossidae ","Chaerophon","Ieucostigma",,"brain size",390,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
44,"Chordata","Mammalia","Chiroptera","Molossidae ","Molossus","major",,"brain size",260,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
45,"Chordata","Mammalia","Chiroptera","Molossidae ","Molossus","ate",,"brain size",480,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
46,"Chordata","Mammalia","Chiroptera","Pteropidae","Pteropus","vampyru",,"brain size",10200,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
