"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
8,"Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","setosus","","metabolic rate",0.153,"(O2) cm3/g/h",,,22,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
9,"Chordata","Mammalia","Phollidota","Manidae","Manis","javanica","","body mass",4.22,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
9,"Chordata","Mammalia","Phollidota","Manidae","Manis","javanica","","metabolic rate",0.262,"(O2) cm3/g/h",,,22,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
10,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","tetradactyla","","body mass",3.5,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
10,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","tetradactyla","","metabolic rate",0.253,"(O2) cm3/g/h",,,25,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
11,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","mexicana","","body mass",4.21,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
11,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","mexicana","","metabolic rate",0.202,"(O2) cm3/g/h",,,8,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
12,"Chordata","Mammalia","Carnivora","Hyaenidae","Proteles","cristata","","body mass",7.71,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
12,"Chordata","Mammalia","Carnivora","Hyaenidae","Proteles","cristata","","metabolic rate",0.254,"(O2) cm3/g/h",,,11,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
13,"Chordata","Mammalia","Monotremata","Tachyglossidae","Zaglossus","bruijni","","body mass",10.3,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
13,"Chordata","Mammalia","Monotremata","Tachyglossidae","Zaglossus","bruijni","","metabolic rate",0.118,"(O2) cm3/g/h",,,23,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
14,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","tridactyla","","body mass",30.6,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
14,"Chordata","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","tridactyla","","metabolic rate",0.085,"(O2) cm3/g/h",,,29,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
15,"Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus","afer","","body mass",48,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
15,"Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus","afer","","metabolic rate",0.128,"(O2) cm3/g/h",,,20,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
