"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata ","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","gibbsii",,"mass",11.8,"g","",,6,,90,"Campbell & Hochachka, 2000","2000","Campbell, K. L., & Hochachka, P. W. (2000). Thermal biology and metabolism of the American shrew-mole, Neurotrichus gibbsii. Journal of Mammalogy, 81(2), 578-585. doi:10.1644/1545-1542(2000)081<0578:TBAMOT>2.0.CO;2",,
1,"Chordata ","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","gibbsii",,"metabolic rate",3.94,"(O2) ml/g/h","24.9-32",,18,,90,"Campbell & Hochachka, 2000","2000","Campbell, K. L., & Hochachka, P. W. (2000). Thermal biology and metabolism of the American shrew-mole, Neurotrichus gibbsii. Journal of Mammalogy, 81(2), 578-585. doi:10.1644/1545-1542(2000)081<0578:TBAMOT>2.0.CO;2","basal metabolic rate",""
