"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","gigas",,"body mass",150,"g",,,6,,75,"Leitner & Nelson, 1967",1967,"Leitner, P., & Nelson, J. E. (1967). Body temperature, oxygen consumption and heart rate in the Australian false vampire bat, Macroderma gigas. Comparative Biochemistry and Physiology, 21(1), 65-74. doi:10.1016/0010-406X(67)90115-6","",
1,"Chordata","Mammalia","Chiroptera","Megadermatidae","Macroderma","gigas",,"metabolic rate",0.94,"(O2) cm3/g/h",32.5,,6,,75,"Leitner & Nelson, 1967",1967,"Leitner, P., & Nelson, J. E. (1967). Body temperature, oxygen consumption and heart rate in the Australian false vampire bat, Macroderma gigas. Comparative Biochemistry and Physiology, 21(1), 65-74. doi:10.1016/0010-406X(67)90115-6","not specified",
