"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
10,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",23.7,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
11,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",183.9,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
11,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",33.5,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
12,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","deserta","female","body mass",79,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
12,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","deserta","female","metabolic rate",9.1,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
13,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","deserta","female","body mass",63.2,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
13,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","deserta","female","metabolic rate",5.9,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
14,"Arthropoda","Arachnida","Araneae","Plectreuridae","Plectreurys","tristis","female","body mass",340.4,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
14,"Arthropoda","Arachnida","Araneae","Plectreuridae","Plectreurys","tristis","female","metabolic rate",20.9,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
15,"Arthropoda","Arachnida","Araneae","Plectreuridae","Plectreurys","tristis","female","body mass",81,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
