"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","female","body mass",78.4,"g",,,1,"",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","",
1,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","female","metabolic rate",242,"kJ/day",10.2,,1,"checked value correct",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","field metabolic rate",
2,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","male","body mass",86.7,"g",,,1,"",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","",
2,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","male","metabolic rate",208,"kJ/day",9.8,,1,"checked value correct",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","field metabolic rate",
3,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","male","body mass",84.5,"g",,,1,"",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","",
3,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","male","metabolic rate",178,"kJ/day",20.2,,1,"value corrected",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","field metabolic rate",
4,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","female","body mass",79.4,"g",,,1,"",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","",
4,"Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","female","metabolic rate",151,"kJ/day",22.4,,1,"value corrected",48,"Weathers, Koenig, & Stanback, 1990",1990,"Weathers, W. W., Koenig, W. D., & Stanback, M. T. (1990). Breeding energetics and thermal ecology of the acorn woodpecker in central coastal California. Condor, 341-359. doi:10.2307/1368232","field metabolic rate",
