"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
9,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.2,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
9,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.09,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
10,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.17,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
10,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.19,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
11,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.2,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
11,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.14,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
12,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.2,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
12,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.16,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
13,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.33,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
13,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.13,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
