"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"body mass",69.66,"g",25,,5,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","",
1,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"metabolic rate",0.0389,"(O2) ml/g/h",25,,5,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","standard metabolic rate",
2,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"body mass",198.2,"g",25,,9,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","",
2,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"metabolic rate",0.0273,"(O2) ml/g/h",25,,9,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","standard metabolic rate",
3,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"body mass",475.96,"g",25,,8,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","",
3,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","microlepis",,"metabolic rate",0.0237,"(O2) ml/g/h",25,,8,,191,"Zari, 1991",1991,"Zari, T. (1991). The influence of body mass and temperature on the standard metabolic rate of the herbivorous desert lizard, Uromastyx microlepis. Journal of thermal Biology, 16(3), 129-133. doi:10.1016/0306-4565(91)90033-X","standard metabolic rate",
