"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
8,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","male","metabolic rate",1342,"(O2) ul/g/h",20,,7,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
9,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","female","body mass",103.2,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
9,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","female","metabolic rate",2926,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
10,"Arthropoda","Insecta","Orthoptera","Tanaoceridae","Tanaocerus","koebeli","female","body mass",102.5,"mg",,,12,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
10,"Arthropoda","Insecta","Orthoptera","Tanaoceridae","Tanaocerus","koebeli","female","metabolic rate",807,"(O2) ul/g/h",20,,12,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
11,"Arthropoda","Insecta","Orthoptera","Gryllacrididae","Ceuthophilus","fossor","male","body mass",70.15,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
11,"Arthropoda","Insecta","Orthoptera","Gryllacrididae","Ceuthophilus","fossor","male","metabolic rate",1571,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
12,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eusattus","dubius","","body mass",27.22,"mg",,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
12,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eusattus","dubius","","metabolic rate",1227,"(O2) ul/g/h",20,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
13,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","grandicollis","","body mass",521.93,"mg",,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
13,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","grandicollis","","metabolic rate",650,"(O2) ul/g/h",20,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
14,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","armata","","body mass",451.9,"mg",,,5,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
14,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","armata","","metabolic rate",389,"(O2) ul/g/h",20,,5,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
15,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","tenebrosa","","body mass",51.53,"mg",,,11,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
15,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","tenebrosa","","metabolic rate",643,"(O2) ul/g/h",20,,11,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
